core	depth	age	error	lab_id
CAL1	55.5	930	25	OS‐76968
CAL1	90.5	1350	30	OS‐76969
CAL1	132	1570	30	OS‐76970
CAL1	133.5	1283	33	ETH-52627
CAL1	210.5	1920	30	OS‐76971
CAL1	218.6	1345	19	ETH-52628
CAL1	258.6	1506	27	ETH-52629
CAL1	306	2070	30	OS‐76972
CAL1	307.7	2081	34	ETH-52630
CAL1	332.5	2800	30	OS‐76973
CAL1	415	2284	38	ETH-52079
CAL1	461.5	2870	35	OS‐76974
CAL1	462.7	2817	34	ETH-52631
CAL1	533.6	3143	29	ETH-52077
CAL1	555.5	3900	40	OS‐76975
CAL2				
PU-II	120.5	2570	35	Poz-5922
PU-II	156.5	2590	40	Poz-1406
PU-II	306.5	4110	40	Poz-7660
PU-II	400.5	5300	40	Poz-2201
PU-II	463.75	5760	40	Poz-5923
PU-II	627.75	7450	50	Poz-5925
PU-II	762	10010	60	Poz-1405
PU-II	908	11440	80	Poz-7661
PU-II	1012	13410	100	Poz-2215
PU-II	1119	12880	90	Poz-7662
RIN2	50	905	30	OS‐76976
RIN2	102.5	1500	30	OS‐76977
RIN2	137	1790	25	OS‐77130
RIN2	166	2170	25	OS‐77131
RIN2	309.5	2300	25	OS‐77132
RIN2	329.4	2048	24	ETH-52633
RIN2	337	2470	30	OS‐77133
RIN2	403.2	2910	35	OS-77134
RIN2	453.7	3140	30	OS-77135
RIN2	461.3	2900	25	ETH-52634
RIN2	550.5	3980	40	OS‐ 77136
RIN2	604.5	4066	27	ETH-52635
RIN2	626.8	4260	30	OS- 77137
RIN2	712	4800	35	OS- 77138
VILL1				
VILL3	232	2400	45	OS‐76898
VILL3	315	2980	35	OS‐76899
VILL3	670	3680	45	OS‐76900
VILL4	629.5	3370	45	OS‐76965
VILL4	777.5	3380	35	OS‐76966
VILLAR1	729	10841	42	ETH-52078
LR0901B	40	510	20	120356
LR0901B	81	1260	30	78697
LR0901B	212	2500	20	120357
LR0901B	300	3670	20	78698
LR0901B	355	4980	35	120358
LR0901B	419	6340	35	75749
LR0901B	481	8910	65	75750
LR0901B	541	11600	85	75751
LR0901B	579	13600	290	120359
LR0901B	657	15250	70	78699
